datetime,Date,Offset,Val
2023-10-09 21:00:00,20231009,21,14.6
2023-10-09 22:00:00,20231009,22,14.6
2023-10-09 23:00:00,20231009,23,14.1
2023-10-10 00:00:00,20231009,24,21.4
2023-10-10 01:00:00,20231009,25,19.9
2023-10-10 02:00:00,20231009,26,18.9
2023-10-10 03:00:00,20231009,27,18.5
2023-10-10 04:00:00,20231009,28,18.3
2023-10-10 05:00:00,20231009,29,18.3
2023-10-10 06:00:00,20231009,30,18.1
2023-10-10 07:00:00,20231009,31,18.4
2023-10-10 08:00:00,20231009,32,18.4
2023-10-10 09:00:00,20231009,33,18.3
2023-10-10 10:00:00,20231009,34,18.0
2023-10-10 11:00:00,20231009,35,17.7
2023-10-10 12:00:00,20231009,36,17.4
2023-10-10 13:00:00,20231009,37,17.2
2023-10-10 14:00:00,20231009,38,17.0
2023-10-10 15:00:00,20231009,39,16.7
2023-10-10 16:00:00,20231009,40,16.3
2023-10-10 17:00:00,20231009,41,16.3
2023-10-10 18:00:00,20231009,42,16.6
2023-10-10 19:00:00,20231009,43,16.0
2023-10-10 20:00:00,20231009,44,14.8
2023-10-10 21:00:00,20231009,45,14.6
2023-10-10 22:00:00,20231009,46,14.5
2023-10-10 23:00:00,20231009,47,14.4
2023-10-11 00:00:00,20231009,48,21.0
2023-10-11 01:00:00,20231009,49,20.0
2023-10-11 02:00:00,20231009,50,19.1
2023-10-11 03:00:00,20231009,51,18.8
2023-10-11 04:00:00,20231009,52,18.5
2023-10-11 05:00:00,20231009,53,18.6
2023-10-11 06:00:00,20231009,54,18.6
2023-10-11 07:00:00,20231009,55,18.8
2023-10-11 08:00:00,20231009,56,18.4
2023-10-11 09:00:00,20231009,57,18.1
2023-10-11 10:00:00,20231009,58,17.7
2023-10-11 11:00:00,20231009,59,17.3
2023-10-11 12:00:00,20231009,60,16.8
2023-10-10 01:00:00,20231010,1,14.8
2023-10-10 02:00:00,20231010,2,14.5
2023-10-10 03:00:00,20231010,3,14.2
2023-10-10 04:00:00,20231010,4,13.9
2023-10-10 05:00:00,20231010,5,13.6
2023-10-10 06:00:00,20231010,6,12.9
2023-10-10 07:00:00,20231010,7,11.9
2023-10-10 08:00:00,20231010,8,11.8
2023-10-10 09:00:00,20231010,9,11.4
2023-10-10 10:00:00,20231010,10,11.1
2023-10-10 11:00:00,20231010,11,10.9
2023-10-10 12:00:00,20231010,12,11.0
2023-10-10 13:00:00,20231010,13,10.8
2023-10-10 14:00:00,20231010,14,10.9
2023-10-10 15:00:00,20231010,15,11.0
2023-10-10 16:00:00,20231010,16,11.2
2023-10-10 17:00:00,20231010,17,11.4
2023-10-10 18:00:00,20231010,18,11.5
2023-10-10 19:00:00,20231010,19,10.9
2023-10-10 20:00:00,20231010,20,10.5
2023-10-10 21:00:00,20231010,21,10.7
