,Date,Time,Val,datetime
296,20211213,800,3.1,
297,20211213,900,3.1,
298,20211213,1000,3.0,
299,20211213,1100,2.8,
300,20211213,1200,3.7,
301,20211213,1300,3.3,
302,20211213,1400,2.8,
303,20211213,1500,2.4,
304,20211213,1600,2.4,
305,20211213,1700,2.8,
306,20211213,1800,3.4,
307,20211213,1900,3.8,
308,20211213,2000,4.3,
309,20211213,2100,4.4,
310,20211213,2200,4.2,
311,20211213,2300,4.3,
312,20211214,0,4.6,
313,20211214,100,4.5,
314,20211214,200,4.2,
315,20211214,300,3.6,
316,20211214,400,3.6,
317,20211214,500,3.4,
318,20211214,600,3.6,
319,20211214,700,3.6,
320,20211214,800,4.0,
321,20211214,900,3.4,
322,20211214,1000,2.4,
323,20211214,1100,2.6,
324,20211214,1200,2.8,
325,20211214,1300,2.1,
326,20211214,1400,1.9,
327,20211214,1500,1.6,
328,20211214,1600,1.1,
329,20211214,1700,1.2,
330,20211214,1800,1.1,
331,20211214,1900,1.3,
332,20211214,2000,1.4,
333,20211214,2100,1.4,
334,20211214,2200,2.9,
335,20211214,2300,2.9,
336,20211215,0,3.2,
337,20211215,100,3.0,
338,20211215,200,3.0,
339,20211215,300,2.8,
340,20211215,400,2.7,
341,20211215,500,2.6,
342,20211215,600,2.2,
343,20211215,700,2.0,
344,20211215,800,2.1,
345,20211215,900,1.9,
346,20211215,1000,2.2,
347,20211215,1100,2.4,
348,20211215,1200,2.9,
349,20211215,1300,2.6,
350,20211215,1400,2.2,
351,20211215,1500,2.3,
352,20211215,1600,2.9,
353,20211215,1700,3.7,
354,20211215,1800,4.4,
355,20211215,1900,4.9,
356,20211215,2000,5.3,
357,20211215,2100,6.1,
358,20211215,2200,6.2,
359,20211215,2300,5.8,
360,20211216,0,5.6,
361,20211216,100,4.9,
362,20211216,200,5.0,
363,20211216,300,4.5,
364,20211216,400,4.2,
365,20211216,500,4.0,
366,20211216,600,4.1,
367,20211216,700,4.1,
368,20211216,800,3.8,
369,20211216,900,3.8,
370,20211216,1000,3.9,
371,20211216,1100,3.8,
372,20211216,1200,3.9,
373,20211216,1300,3.9,
374,20211216,1400,3.7,
375,20211216,1500,3.5,
376,20211216,1600,3.0,
377,20211216,1700,2.7,
378,20211216,1800,2.6,
379,20211216,1900,3.1,
380,20211216,2000,4.1,
381,20211216,2100,4.1,
382,20211216,2200,4.6,
383,20211216,2300,4.6,
384,20211217,0,4.3,
385,20211217,100,3.7,
386,20211217,200,2.7,
387,20211217,300,2.0,
388,20211217,400,1.4,
389,20211217,500,0.6,
390,20211217,600,-0.2,
391,20211217,700,-0.4,
392,20211217,800,-0.7,
393,20211217,900,-0.6,
394,20211217,1000,-0.9,
395,20211217,1100,-1.1,
396,20211217,1200,-1.1,
397,20211217,1300,-1.2,
398,20211217,1400,-1.1,
399,20211217,1500,-1.2,
400,20211217,1600,-1.1,
401,20211217,1700,-0.8,
402,20211217,1800,-0.2,
403,20211217,1900,0.2,
404,20211217,2000,0.2,
405,20211217,2100,0.2,
406,20211217,2200,0.6,
407,20211217,2300,1.0,
408,20211218,0,1.2,
409,20211218,100,1.2,
410,20211218,200,1.5,
411,20211218,300,1.4,
412,20211218,400,0.6,
413,20211218,500,0.6,
414,20211218,600,0.7,
415,20211218,700,0.7,
416,20211218,800,0.5,
417,20211218,900,0.5,
418,20211218,1000,0.8,
419,20211218,1100,1.2,
420,20211218,1200,1.4,
421,20211218,1300,2.0,
422,20211218,1400,1.9,
423,20211218,1500,1.9,
424,20211218,1600,2.7,
425,20211218,1700,3.2,
426,20211218,1800,3.4,
427,20211218,1900,5.1,
428,20211218,2000,4.7,
429,20211218,2100,4.6,
430,20211218,2200,5.9,
431,20211218,2300,6.8,
432,20211219,0,6.6,
433,20211219,100,5.6,
434,20211219,200,5.1,
435,20211219,300,5.1,
436,20211219,400,4.8,
437,20211219,500,4.2,
438,20211219,600,3.8,
439,20211219,700,3.5,
440,20211219,800,2.6,
441,20211219,900,2.3,
442,20211219,1000,1.8,
443,20211219,1100,1.5,
444,20211219,1200,0.8,
445,20211219,1300,0.2,
446,20211219,1400,0.2,
447,20211219,1500,0.7,
448,20211219,1600,0.3,
449,20211219,1700,0.3,
450,20211219,1800,2.4,
451,20211219,1900,3.2,
452,20211219,2000,3.3,
453,20211219,2100,4.6,
454,20211219,2200,5.4,
455,20211219,2300,5.8,
456,20211220,0,5.3,
457,20211220,100,3.6,
458,20211220,200,2.3,
459,20211220,300,1.3,
460,20211220,400,0.7,
461,20211220,500,0.1,
462,20211220,600,-0.3,
463,20211220,700,-0.7,
464,20211220,800,-1.1,
465,20211220,900,-1.4,
466,20211220,1000,-1.5,
467,20211220,1100,-1.8,
468,20211220,1200,-2.2,
469,20211220,1300,-2.4,
470,20211220,1400,-2.8,
471,20211220,1500,-2.9,
472,20211220,1600,-2.9,
473,20211220,1700,-2.7,
474,20211220,1800,-1.7,
475,20211220,1900,0.2,
476,20211220,2000,1.3,
477,20211220,2100,2.1,
478,20211220,2200,2.6,
479,20211220,2300,3.2,
480,20211221,0,2.4,
481,20211221,100,0.8,
482,20211221,200,-0.3,
483,20211221,300,-1.0,
484,20211221,400,-1.6,
485,20211221,500,-1.8,
486,20211221,600,-2.1,
487,20211221,700,-2.6,
488,20211221,800,-2.8,
489,20211221,900,-3.3,
490,20211221,1000,-3.7,
491,20211221,1100,-4.1,
492,20211221,1200,-4.2,
493,20211221,1300,-3.9,
494,20211221,1400,-4.2,
495,20211221,1500,-3.4,
496,20211221,1600,-3.7,
497,20211221,1700,-2.9,
498,20211221,1800,-1.7,
499,20211221,1900,-0.3,
500,20211221,2000,0.1,
501,20211221,2100,0.2,
502,20211221,2200,0.0,
503,20211221,2300,-0.1,
504,20211222,0,0.1,
505,20211222,100,0.2,
506,20211222,200,0.2,
507,20211222,300,0.3,
508,20211222,400,0.3,
509,20211222,500,0.4,
510,20211222,600,0.6,
511,20211222,700,0.9,
512,20211222,800,1.4,
513,20211222,900,1.7,
514,20211222,1000,2.6,
515,20211222,1100,3.2,
516,20211222,1200,3.1,
517,20211222,1300,3.4,
518,20211222,1400,4.5,
519,20211222,1500,6.0,
520,20211222,1600,6.0,
521,20211222,1700,6.3,
522,20211222,1800,6.7,
523,20211222,1900,7.0,
524,20211222,2000,7.4,
525,20211222,2100,7.7,
526,20211222,2200,7.9,
527,20211222,2300,7.9,
528,20211223,0,7.4,
529,20211223,100,7.4,
530,20211223,200,7.2,
531,20211223,300,7.2,
532,20211223,400,7.4,
533,20211223,500,7.6,
534,20211223,600,7.3,
535,20211223,700,6.0,
536,20211223,800,5.1,
537,20211223,900,4.4,
538,20211223,1000,4.3,
539,20211223,1100,4.0,
540,20211223,1200,3.4,
541,20211223,1300,2.9,
542,20211223,1400,2.9,
543,20211223,1500,3.3,
